,15th,50th,85th
MEAN,1.2753759814159696e-05,1.689623922410758e-05,2.103979892389232e-05
LN_SIGLC,-7.643395197628333,-7.637998341378904,-7.6325339283478355
TTS,1687.6395549516872,1687.6430563640342,1687.6487904381509
TTS_1,1703.5690892078906,1703.5720932291129,1703.5748364542972
TTS_2,1719.496163251816,1719.499087050353,1719.5032678069283
TTS_3,1735.4200126348499,1735.422124966623,1735.424275265811
TTS_4,1846.8849586178558,1846.889207365487,1846.8915706431662
TTS_5,1862.8005894067835,1862.803255224888,1862.8062673112756
TTS_6,1878.7305449068156,1878.734515272718,1878.7385715166063
TTS_7,1894.6570333289494,1894.6658441310542,1894.6691257602706
TTS_8,1910.5765253470395,1910.5796739530933,1910.582835523284
TTS_9,1926.4890965986224,1926.4958468644709,1926.5006426311154
TTS_10,2022.043076787844,2022.0459060761902,2022.0490642351701
TTS_11,2404.1979715796188,2404.2013360552032,2404.204273004646
TTS_12,2420.1222220536465,2420.125353215781,2420.1281046921604
TTS_13,2436.038157737333,2436.043221416527,2436.048551106354
TTS_14,2595.1765215961127,2595.1827252126927,2595.1909856688308
TTS_15,2643.0596800911644,2643.0687575851057,2643.076205884453
TTS_16,2658.9847087864578,2658.987308119654,2658.9899839432405
TTS_17,2754.515474932997,2754.520159450787,2754.526454182513
TTS_18,2834.137694749458,2834.140693296135,2834.1437903441074
TTS_19,2850.0666208565613,2850.074369724502,2850.081566155811
TTS_20,2945.6002556491753,2945.602275759785,2945.6048165521765
TTS_21,2961.522844478059,2961.5260297222776,2961.528439334274
LN_ROR,-3.854565611953154,-3.8330839421342993,-3.8054961081356167
ROR,0.02118280286824749,0.021642767562255343,0.02224815693698854
IMPACT,0.1447907464197255,0.45857840644100956,0.659426277335822
LD_U1,0.16415407574260887,0.24971412597113685,0.32896180653905116
LD_U2,0.163533164736302,0.25673605243969155,0.35142512413490845
LN_DUR14,-1.7267002526106516,-1.711587122947989,-1.69642138807601
DUR14,0.17787036996715652,0.18057896404346802,0.18333844865177717
PERIOD,15.923328639233995,15.923364620384207,15.923398394354777
T0,1687.6479819465414,1687.6493982544823,1687.650755270863
ECC,0.08238088276965895,0.23832571106488626,0.5757469557397054
OMEGA,-20.629177647233703,87.35970706725027,200.87965603953438
