,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,TTS_0_22,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,-2.4985851210685853e-05,-7.622646956353839,1690.7728188401857,1698.2096890164091,1705.652219962396,1713.0838728164215,1720.5143448461781,1727.9469080605752,1735.384280823959,1742.817402688055,1757.6879504089407,2426.7538336023017,2434.197191879963,2441.625398670029,2776.161562787785,2783.532227794864,2791.032766640843,2798.464167694133,2805.894226965743,2813.3322925933576,2820.7671818197105,2828.199445302834,2835.632825282442,2843.0714108172056,2850.497761821684,-3.7447628636597052,0.023641234578862684,0.494443052748036,0.4867987417729325,0.08932381306544457,-2.185323902854686,0.11244130769482492,7.434092233000479,1690.7789347652636,0
1,-2.4321885812452594e-05,-7.624711183891963,1690.7719712023663,1698.2116553630203,1705.6471835003802,1713.0846854447564,1720.5165782164554,1727.9506584266073,1735.383613150548,1742.8133029463822,1757.6902242380174,2426.749058532474,2434.193347691779,2441.6358831178823,2776.161169847646,2783.5313692305285,2791.025462965954,2798.4653738337506,2805.899513293403,2813.3311812269685,2820.765792684227,2828.1995803111827,2835.6353723009647,2843.0644406833967,2850.5043148898703,-3.73363130221308,0.02390586859656813,0.4062291673662924,0.47236347535596845,0.09258989444165544,-2.2066089938440596,0.11007327552310911,7.434091300754737,1690.7790136604608,0
2,-2.0387213159132696e-05,-7.630944874288158,1690.772107736115,1698.2118529944908,1705.6494519592948,1713.0855082338844,1720.5167036817206,1727.9531600522196,1735.3839676523573,1742.8145253178411,1757.6894941871292,2426.747783241978,2434.1949957114703,2441.634376329692,2776.162320607533,2783.527756187968,2791.028062230282,2798.465637840877,2805.898007801445,2813.3310298730753,2820.7657679251424,2828.199189829667,2835.635563845067,2843.0646785424196,2850.502770877673,-3.706687218477436,0.02455874642145798,0.633185506661382,0.46761461935724946,0.17232514855395964,-2.1786426179670633,0.11319507536896942,7.434084106872295,1690.7797681360216,0
3,-2.394078919968716e-05,-7.622899417645673,1690.7692486158212,1698.2104777911004,1705.649175270236,1713.0817604605772,1720.5151375612006,1727.9488864955426,1735.38248900871,1742.817988539245,1757.6883405210829,2426.757893210024,2434.194777575119,2441.6334446290425,2776.1611312077616,2783.5285301738254,2791.0320093200735,2798.457290897997,2805.894808877739,2813.333345108276,2820.76537714845,2828.197024056247,2835.637298568994,2843.0694184220733,2850.4999752203107,-3.673881307708767,0.02537777957522834,0.775711097545035,0.21913768671911216,0.18479828745453175,-2.178799435727706,0.11317732576249741,7.434092902372177,1690.7786178147749,0
4,-2.3221857446765984e-05,-7.617970928609984,1690.7711614013526,1698.2115123368192,1705.6485185976928,1713.0834064036846,1720.516465032003,1727.9488872696102,1735.3844811102958,1742.8124974062514,1757.6903488102605,2426.7589004218253,2434.1929543970114,2441.6254005656015,2776.165217130286,2783.534660840807,2791.025530115577,2798.4634953036953,2805.898457932344,2813.3351615676097,2820.765293562727,2828.1997652302007,2835.627786212179,2843.0706604966886,2850.4978118670524,-3.778648177817436,0.022853564508385136,0.2798754444158009,0.5077669667465161,0.22183018028260726,-2.206992662475116,0.11003105196061941,7.434092597074309,1690.7787550024827,0
5,-2.3933936455980773e-05,-7.622471142015537,1690.7735309614484,1698.211106271479,1705.6470113246442,1713.0808112445807,1720.517664968547,1727.9523493648485,1735.3879324466877,1742.8175900101758,1757.6880342534043,2426.749653047614,2434.1942350416266,2441.627064499708,2776.164302461397,2783.532106787087,2791.028467367409,2798.463950740347,2805.8964641570774,2813.335631920643,2820.766250414633,2828.1970256201735,2835.6331270455394,2843.064785909192,2850.5027420987794,-3.7599446309901667,0.023285029608238233,0.365566252529585,0.5189370511102736,0.4322390833595571,-2.1581353059608355,0.11554036772606693,7.434086081067606,1690.7794716514775,0
6,-1.8534007484516617e-05,-7.61503238473027,1690.7686757599809,1698.212548942904,1705.6498886215618,1713.0813428847562,1720.5164990248254,1727.9517363430086,1735.3836828089895,1742.8128973702505,1757.6881087055601,2426.7616027925355,2434.2012365296678,2441.633637500799,2776.15986174801,2783.529259609941,2791.031700469314,2798.459852774256,2805.892831260165,2813.3380924078006,2820.766427692167,2828.201716201337,2835.6346260326704,2843.070131742009,2850.508631392848,-3.7220329917975925,0.02418475043408628,0.4591321352632757,0.42124414094754736,0.20110418296129895,-2.1866378084807345,0.11229366744196376,7.434103089571194,1690.7790006805253,0
7,-2.77684843438067e-05,-7.6289796021462415,1690.77392812241,1698.2103514930507,1705.651270951033,1713.0800674479165,1720.5158666045716,1727.9516415559663,1735.382547391565,1742.8171373859698,1757.6865612293045,2426.7532485451056,2434.1880892737277,2441.627249052892,2776.164064217617,2783.5407600530643,2791.026419933544,2798.4566167653416,2805.8999747826424,2813.3343394245794,2820.7670313139165,2828.1960518031556,2835.6318568394927,2843.0672865246456,2850.497164812473,-3.740625253420157,0.023739255439348194,0.2978527083030832,0.3267169233831526,0.25382625386913515,-2.2020736138567747,0.11057363345303955,7.4340883136521905,1690.778742384648,0
8,-2.8258833499655928e-05,-7.630415337989167,1690.7771860613723,1698.2119468581445,1705.648872823213,1713.080128211548,1720.5193278385295,1727.9486492175813,1735.3834853577016,1742.8161206302018,1757.6924324290328,2426.7611464498377,2434.1975823019798,2441.6282914149792,2776.163114357942,2783.547258515385,2791.031615736773,2798.4655007858833,2805.8958058526387,2813.335842820017,2820.7670106717605,2828.19692148347,2835.636192883107,2843.0695263939615,2850.5060670429307,-3.7093804440310976,0.024492693166113653,0.5959739916848315,0.35348170544398716,0.23436036604798294,-2.1953173586940693,0.11132322650449133,7.4341038613097625,1690.7800222278736,0
9,-2.8066430924243146e-05,-7.63180048013146,1690.7743453196626,1698.2103737768637,1705.6499580191005,1713.0826975062719,1720.514107333209,1727.9530174158863,1735.3823266300674,1742.8125793230395,1757.6879130028974,2426.7554892611856,2434.192863283309,2441.633266904938,2776.1621267712944,2783.559419712667,2791.0306102531426,2798.4608498269135,2805.8976515896506,2813.3361620865153,2820.7640973792213,2828.1978267411723,2835.6335292961603,2843.0707302031115,2850.502325944518,-3.7378191160263943,0.023805964605504874,0.3432399024498183,0.34991157671758266,0.21992499193213622,-2.211536120904685,0.10953226441834592,7.434111219576383,1690.7786978637905,0
10,-2.5655332870897473e-05,-7.6332470072556,1690.7722899939527,1698.2121186660197,1705.651137079532,1713.0801543440498,1720.5139013947241,1727.954378768285,1735.3829185292582,1742.8126126282316,1757.68549151362,2426.7599576303655,2434.190767796788,2441.630636241064,2776.161171304779,2783.5515293828757,2791.0288747734016,2798.4624655805796,2805.8970870802073,2813.3352627764634,2820.76383197532,2828.199632121207,2835.6327688119277,2843.066428965544,2850.502745428545,-3.7525890499677557,0.023456935990717093,0.33632142982182167,0.2819721317428221,0.2989480665818307,-2.216735170424172,0.10896427852444093,7.434105011551295,1690.7785369437936,0
11,-2.5824601655943852e-05,-7.630775300344004,1690.7724185357079,1698.2115115050806,1705.6506481907327,1713.0806944603628,1720.5138390228317,1727.9542791539832,1735.383723634011,1742.81205426365,1757.6862468923973,2426.758151159121,2434.191571411583,2441.6306919004282,2776.160307106446,2783.548300906823,2791.028880738716,2798.462215962733,2805.897308649666,2813.3354528955433,2820.76428441364,2828.1992208332254,2835.6322391486974,2843.066992097204,2850.502855935858,-3.737900737338252,0.023804021610739703,0.3441608071099634,0.29556644932461573,0.29496302572508415,-2.2093152439353547,0.10977579242456545,7.4341025863737125,1690.7785617932068,0
12,-2.812774534708147e-05,-7.61424419255583,1690.7696322485237,1698.2132724641838,1705.6472106648944,1713.0795022175892,1720.516820446824,1727.9458385656426,1735.383816672695,1742.8177406015623,1757.6852615461883,2426.7578194224725,2434.193513543517,2441.630788953104,2776.1626736839194,2783.545889969964,2791.027979247531,2798.463096041801,2805.898560574499,2813.3388957097172,2820.767751287689,2828.1989116176405,2835.6333774059917,2843.06901866715,2850.5048051537665,-3.7490797273790344,0.02353939855529224,0.43676802654343666,0.3839208734021593,0.3065018749745554,-2.1772764572627104,0.11334982371435057,7.43411572425426,1690.7777808542105,0
13,-2.5191848083560637e-05,-7.637874179372939,1690.771073648443,1698.2093958621108,1705.651335667974,1713.0791124934344,1720.514056141224,1727.957437835317,1735.3816476816921,1742.8142399649564,1757.690144562575,2426.7563073776514,2434.1955003881158,2441.632794033097,2776.161357925584,2783.5492517139323,2791.0314821375955,2798.46093774983,2805.8963236130994,2813.3274362804573,2820.7646826285913,2828.1999923957615,2835.634391022125,2843.069393317469,2850.5031091652754,-3.7278770031841946,0.024043826658316815,0.20012604052758456,0.28567404577773825,0.11076824045288247,-2.2153688445684483,0.10911326099166038,7.434101378951671,1690.778993411343,0
14,-2.458225288289923e-05,-7.621379394012839,1690.7731104990655,1698.213941421521,1705.6497703355924,1713.0782066644754,1720.5166442651278,1727.9575057687061,1735.3849989417508,1742.8175619175322,1757.6884621726003,2426.757677119694,2434.192958373004,2441.6235213309324,2776.163029493215,2783.5494251039627,2791.0264677909413,2798.4631958965892,2805.898400540163,2813.3374332651942,2820.7692507404113,2828.197221678934,2835.633155014386,2843.0701760543657,2850.503867730217,-3.7571457485922575,0.023350292957358385,0.4050309054687788,0.39194599768014604,0.34793600292753424,-2.1645313806284623,0.11480372124126106,7.434098783178386,1690.7798527533896,0
15,-2.6280860883113754e-05,-7.625315585328552,1690.7724709358092,1698.213437669706,1705.6482630336425,1713.0833411890046,1720.5164002996219,1727.9478392512924,1735.3845657179659,1742.8165299590812,1757.6887098185284,2426.7587349340583,2434.193174970077,2441.6210952452047,2776.1598913226608,2783.5273050053097,2791.0299310648356,2798.4594515461117,2805.896671827298,2813.3372144017003,2820.766736637002,2828.1960998126397,2835.6346038674596,2843.068926435796,2850.500115918109,-3.727761831726981,0.024046595980340403,0.35396133234669447,0.41690496991726556,0.18955845800653037,-2.190996450004942,0.11180528471594142,7.434085233681436,1690.779096259453,0
16,-1.92017748588241e-05,-7.6270706392187115,1690.7731186230249,1698.2143446974235,1705.650802353181,1713.0792722177375,1720.5135069480796,1727.9524599792169,1735.3836150144753,1742.816391859487,1757.6883594250826,2426.758351484137,2434.194342455608,2441.6215871808013,2776.1627410798774,2783.530791084575,2791.029531527684,2798.457624538503,2805.897576577105,2813.3332008932116,2820.7667636013875,2828.2005021715727,2835.634808218569,2843.070708468883,2850.5039829385296,-3.7119951558014583,0.02442873548489371,0.5522334399052691,0.2464051228113664,0.0819871651555184,-2.22049004758238,0.10855589823267976,7.434091937299054,1690.7790735919407,0
17,-2.4583803319904535e-05,-7.6192464644564994,1690.7683248547082,1698.209306022219,1705.6482911910714,1713.080838436618,1720.517895077847,1727.9467137607542,1735.3822420210213,1742.814129127069,1757.6883194500638,2426.756819578812,2434.1926266499586,2441.622673678715,2776.162949336334,2783.5292748947704,2791.0275926612253,2798.4603250640025,2805.8967554233186,2813.3392379719853,2820.766121713119,2828.198291556365,2835.6337551620436,2843.0706142906674,2850.498424991129,-3.7608104561079827,0.023264877570063666,0.04208472602345862,0.45914563893381866,0.114244913900162,-2.1939395652682756,0.11147671262591147,7.434100890497263,1690.7773019000124,0
18,-2.060143509096351e-05,-7.6297255521598855,1690.7764891457252,1698.212074568878,1705.6484182087156,1713.0802380402465,1720.5138549240937,1727.9504602110173,1735.3837341753356,1742.815870082806,1757.6885015966704,2426.7582338260922,2434.19462153217,2441.62459778804,2776.162542141396,2783.534577128021,2791.030478093522,2798.459282128557,2805.897418436064,2813.33250756412,2820.767637348327,2828.2011300345966,2835.6337631726674,2843.0709703646457,2850.507972288389,-3.739875848608807,0.023757052419330616,0.2001898125217329,0.32189306611737245,0.131117416838185,-2.216862477285646,0.10895040750708579,7.434100008656068,1690.7788502393598,0
19,-2.6850461290955936e-05,-7.614886380191104,1690.7679255382968,1698.2102567630036,1705.648512570844,1713.080126737788,1720.5166676592853,1727.95168851141,1735.3821960674566,1742.815134898298,1757.688656139559,2426.756796036997,2434.1914442411226,2441.634736447417,2776.161420928911,2783.5291772551245,2791.0271028816865,2798.4664237811817,2805.89818436188,2813.3366817681745,2820.7682460013175,2828.1970899617336,2835.6359011183204,2843.0714325359045,2850.499610335891,-3.7282506952922727,0.024034843348647104,0.4192958156596401,0.3671052523610254,0.21779510760845078,-2.1875958759130185,0.11218613405667839,7.43410330590101,1690.7781307544092,0
20,-2.0792882368645055e-05,-7.625099220954331,1690.7757265939158,1698.2115215354106,1705.6488284284258,1713.0822431879258,1720.5174302808223,1727.9570711963047,1735.3824119658648,1742.816965791958,1757.6891219876902,2426.759876941768,2434.1972037159885,2441.6267804119707,2776.160712202081,2783.5281590438376,2791.029974871356,2798.459772555974,2805.897615032723,2813.338643786894,2820.765721735152,2828.20118864232,2835.6312366215257,2843.0654626424785,2850.503760876648,-3.7126086167970844,0.02441375400424811,0.529331147950446,0.35019717177184617,0.11701686773026432,-2.191234547406048,0.11177866733711071,7.434082195013545,1690.7804871483472,0
21,-2.5950528610066388e-05,-7.6258524545481325,1690.7756954606784,1698.2100232843945,1705.6481563496395,1713.083155494504,1720.5145929287455,1727.9522592162932,1735.3848078008318,1742.8143820357384,1757.68905847652,2426.758846828585,2434.193178404533,2441.634198006967,2776.162398876069,2783.5336307756647,2791.028073713137,2798.464503692323,2805.895870817043,2813.3385975372594,2820.7655984201742,2828.196549934197,2835.634691431826,2843.072042533107,2850.502647048925,-3.7410034457107955,0.02373027913344737,0.14493160130400998,0.3641269035173724,0.26571948225020003,-2.1957578717945765,0.1112741979644753,7.434096880228421,1690.7794518422077,0
22,-2.8938770348867893e-05,-7.615766771758981,1690.772386952248,1698.2104753128556,1705.6489942157405,1713.0797642134055,1720.5134145411419,1727.9525626003372,1735.385046226839,1742.8170446144798,1757.6871722595351,2426.756801833088,2434.1927169848036,2441.631087212345,2776.1597249046067,2783.5321168507767,2791.027938895783,2798.46240393049,2805.896281117587,2813.3364219216373,2820.7661495735356,2828.195845319649,2835.633371927574,2843.070742420514,2850.5015502311094,-3.754103559364953,0.0234214371291948,0.32069150440984073,0.41725947017276255,0.20478463767933452,-2.1886026015260756,0.11207325023314585,7.434093252122335,1690.7787694052024,0
