,15th,50th,85th
MEAN,-2.202222001005056e-06,1.7211040869716253e-06,5.479015559603564e-06
LN_SIGLC,-8.346551688442203,-8.336460599700894,-8.32633381432314
TTS,1469.5647364267634,1469.566769781872,1469.5697898484673
TTS_1,1476.4288683624015,1476.4323912403293,1476.4351201646339
TTS_2,1483.2924761263075,1483.2950155190765,1483.297958067357
TTS_3,2204.2118563193244,2204.2132330712666,2204.2145871920825
TTS_4,2211.079487144279,2211.08105070643,2211.0823963823004
TTS_5,2217.9455956539673,2217.9479581538985,2217.950022569796
TTS_6,2224.8208392015154,2224.823233653171,2224.825151236195
LN_ROR,-4.068783761758001,-4.040634635494989,-4.0057217936625715
ROR,0.017098171316322623,0.01758630797805654,0.018211139828344148
IMPACT,0.13976570102006952,0.4693010600991988,0.7115121325682472
LD_U1,0.14664401586800518,0.23560912904394726,0.32406866022602204
LD_U2,0.16999372662900383,0.2704164644202638,0.3627050047977204
LN_DUR14,-1.921058330387427,-1.9052244642461658,-1.8888433329914291
DUR14,0.1464518856029711,0.14878924100872604,0.1512466497104194
PERIOD,6.865886735127102,6.865905844945168,6.865923159583236
T0,1469.5639679222047,1469.5654998188554,1469.5671104553942
ECC,0.13454190493936233,0.32781725602985123,0.6337711735294111
OMEGA,-7.77745527789972,90.30586014051983,189.28648765348044
