,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
7301,-8.052252545294903e-07,-8.324070931611839,1469.5693118881552,1476.4338197438076,1483.295129548158,2204.211333531006,2211.082548344378,2217.9489736326386,2224.8250727914497,-4.068174193679235,0.017108596993019358,0.2310808389433234,0.1257672662837952,0.29388680795329614,-1.914027810565091,0.1474851464119282,6.8659007240527385,1469.5667961526494,0.34185767176397763,127.08065863941533
7302,-9.704457622212904e-09,-8.32853468530526,1469.5663960785696,1476.4283904877266,1483.2913513139335,2204.2128743763415,2211.078905093165,2217.9490150351635,2224.824791543838,-4.049982291199325,0.017422683171585143,0.22224090791351495,0.25393097035542866,0.24511295963208823,-1.9246895716507417,0.14592104785606652,6.865932768762786,1469.5627291399137,0.36282066372813676,144.675519416582
7303,8.026179313771321e-07,-8.33852207175886,1469.5665474319665,1476.4338953918034,1483.2969301580301,2204.2133464473495,2211.0804642426106,2217.9474171437873,2224.8255620698797,-4.03974173920233,0.01760201773980069,0.4941642342035769,0.2163461057752667,0.2176251504125304,-1.905017786964009,0.14881999554269415,6.8659009590266855,1469.5664919701098,0.34830672939128665,155.20292994800923
7304,-4.804674313588733e-07,-8.336682358988847,1469.571733812798,1476.4326369891473,1483.2965821642365,2204.2122117312924,2211.0820673430276,2217.9536055522767,2224.8247056009204,-3.991562974121701,0.018470822129988972,0.694177837614447,0.2619730593807279,0.32052074971670486,-1.9138087814926392,0.14751745348471215,6.8659032040651935,1469.5676918596014,0.06129147577155274,20.133742130207004
7305,1.7539927384271634e-06,-8.340193592550191,1469.5657804370244,1476.4330297596405,1483.2942844785314,2204.21376970986,2211.078557709906,2217.9484456907817,2224.8231375249816,-4.045552964274978,0.017500025091127577,0.04997949606059555,0.09232749255658601,0.3025825342363553,-1.9200194167017508,0.1466041155343277,6.865907290504212,1469.5650741943407,0.45828993080574654,153.00780122707096
7306,4.991586839201517e-06,-8.336306761402454,1469.5642332308134,1476.4353163911594,1483.2921141133488,2204.2127242961938,2211.081942747663,2217.9475273955923,2224.8249489500336,-4.063346949100273,0.01719138403098711,0.06917671773737961,0.15277443901041488,0.3695744281377329,-1.920510572014342,0.1465321278241556,6.865919317553059,1469.5645807648734,0.4401787567120632,140.03018217702981
7307,1.3516673582609036e-06,-8.34053382983441,1469.5628440222763,1476.4362858830407,1483.2963227061953,2204.2134959504265,2211.0818835268,2217.9473385234933,2224.8223315369987,-4.050353836759014,0.017416211053432704,0.49315714874113864,0.3027413184199572,0.2666357765143561,-1.8875862182902392,0.1514369036577377,6.865902728222223,1469.5658585594454,0.41073152816247993,168.70009707204352
7308,-1.6772097116338652e-06,-8.345492240190886,1469.5657946212204,1476.4333921432471,1483.297000635008,2204.206793791679,2211.0831621926095,2217.9453180656064,2224.813092406621,-4.055277477303753,0.01733067064846484,0.47954359405990044,0.2116827382462203,0.3462290540253481,-1.8596335890764628,0.1557296809716038,6.865861276517123,1469.5661680025726,0.45449619362098437,4.102578881534446
7309,-1.947772600247729e-06,-8.322941499471089,1469.5678881108308,1476.4302255619882,1483.2907676763982,2204.214755841248,2211.081329108999,2217.94969856283,2224.8209458799843,-3.9821076412830947,0.018646298185944644,0.7718002342454401,0.27380353605864793,0.2716934729579903,-1.888862957721239,0.1512436815649088,6.865926340752523,1469.5636856904894,0.27757341925727774,-32.50680497651358
7310,1.218857312533999e-06,-8.347338853275156,1469.567372561836,1476.429578293476,1483.2948186918504,2204.2143096911823,2211.0797990811197,2217.947453069942,2224.8194052360095,-4.0681418131744405,0.01710915098699558,0.15893797792551526,0.0938651134768278,0.26477931708278435,-1.9355041480165918,0.14435147596559614,6.86590412179974,1469.564662199847,0.5320574421671834,155.64147826308798
7311,7.256717744021419e-06,-8.348156501390216,1469.5685168262487,1476.4344911326452,1483.297811409088,2204.2145090754534,2211.0813259543697,2217.945544321874,2224.8250451108606,-4.054362388322923,0.01734653701266597,0.031126165321740444,0.2781251594282952,0.07052753609382356,-1.9053748683032914,0.14876686418604632,6.865889175742338,1469.5676677187346,0.8195320688430463,-15.698145487597246
7312,-6.042123170195689e-06,-8.355075331786962,1469.5634582741502,1476.4292934091538,1483.2945758852848,2204.212814232512,2211.082281300074,2217.948117650286,2224.8244391053076,-4.056755854561909,0.017305068308731006,0.5636795680177995,0.12389118072674865,0.34532729820897035,-1.904060644673956,0.14896250564437638,6.865934065627524,1469.563113311077,0.23724238203653447,154.3458242269612
7313,-2.3466459422353842e-06,-8.332370804934138,1469.5668711854682,1476.4339593417817,1483.2910180266408,2204.2122698793746,2211.0839391683367,2217.9477233799853,2224.822457701249,-3.983012770411793,0.018629428514081565,0.7621954485576408,0.42165454496041654,0.20147144503989445,-1.8919348092999555,0.1507797962810724,6.8659166055128935,1469.5646688676716,0.36573032151704843,213.4526079749609
7314,-1.970950631579993e-06,-8.337132314327771,1469.5655625829854,1476.4303708326245,1483.2984968497256,2204.2122276713862,2211.0812973539732,2217.950444735858,2224.8212112634474,-4.042839272694453,0.017547579256362373,0.6276323180209509,0.20788478514543907,0.37236918986547485,-1.8934423007662098,0.1505526682646813,6.865906279733713,1469.565509578052,0.1958264101378877,-2.5849355217401384
7315,3.117664913411774e-06,-8.325841356224128,1469.5644882011127,1476.4265407933863,1483.298590324899,2204.2127133355534,2211.079991144728,2217.9487802102435,2224.819255473665,-4.06042559877824,0.017241679515858022,0.22717330076629733,0.3122229243562147,0.22023365392823635,-1.9023665612659049,0.14921507442950008,6.865910733288081,1469.5639098623853,0.7416899911480088,-9.336726488652442
7316,3.474570185552088e-07,-8.308401424818621,1469.5690407684529,1476.4336068191249,1483.2940057253652,2204.21282012956,2211.0795982021796,2217.948745912661,2224.825207589147,-3.997012363809192,0.018370441178224017,0.8097294734986873,0.2632987955276551,0.21369246275827702,-1.8998837448039292,0.14958600836255817,6.865902012858358,1469.5662636467696,0.28782688274253787,-40.73236044017685
