,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.6609018709891438e-05,-6.53396787138199,1765.6071690686867,1771.9827061890096,1778.3309640849025,1784.701869793047,2853.7485510174984,2860.10981843488,2866.475247138722,2872.8339724115403,2879.196633759638,2885.5705226930077,2891.9272532327523,2898.2868396101203,2904.6557108919537,-3.092493016373368,0.04538865857013483,0.434051032233174,0.44345665819950075,0.24660066721445828,-2.2279216776142734,0.1077521412706527,6.363370735800248,1765.6106250019657,0
1,-7.58531550662923e-08,-6.542268959478316,1765.6044341954027,1771.9828747298163,1778.332623652233,1784.700768281536,2853.752766764779,2860.1150121739583,2866.477686045541,2872.839635363255,2879.2059023938564,2885.574360497098,2891.9291432947316,2898.2859805152584,2904.656487765078,-3.097487897755394,0.04516251286015849,0.10951349858046296,0.36860759330037274,0.24507076145121975,-2.2185256139649074,0.1087693586843413,6.363393997547787,1765.6101358114993,0
2,6.533349104491916e-06,-6.547139558608412,1765.607748297428,1771.9813512875287,1778.330853725586,1784.6988519229385,2853.746501822213,2860.1090518078645,2866.475142695463,2872.832753358086,2879.1977872441944,2885.569796691147,2891.927873293613,2898.286299712732,2904.6549857061,-3.084282963267232,0.04576283577298386,0.2577766638657021,0.35764585972927887,0.24030604219481555,-2.246379935140025,0.10578146804663544,6.363373606332719,1765.609640457912,0
3,1.8838279214507805e-05,-6.541578224368326,1765.6054695174998,1771.9818146314103,1778.3343575669337,1784.701450016136,2853.743592877404,2860.1125015324833,2866.4715023827926,2872.8355643197287,2879.2057266759552,2885.571197433245,2891.928704059966,2898.2853081812477,2904.6526857713443,-3.133442739768929,0.04356754703813632,0.11297332836734578,0.43699433678780264,0.3564136289936044,-2.1981475644556316,0.11100860430024219,6.363371717909668,1765.6107068423812,0
4,4.089874044219418e-06,-6.537441008046436,1765.607483429914,1771.9842400068721,1778.335163006623,1784.6985787816852,2853.747369950535,2860.113504991245,2866.475083185922,2872.8384799772075,2879.1994865125007,2885.568038076518,2891.926470565727,2898.286390969953,2904.653037294311,-3.1087421840434244,0.04465709042998488,0.0396591668258066,0.40534931262646867,0.2523813721199166,-2.224458250998327,0.10812597991231263,6.363368519417418,1765.6113613500065,0
5,1.0810996245806928e-05,-6.5265011315195185,1765.6017125818648,1771.9799744155885,1778.3283017846886,1784.700833546992,2853.7520240313474,2860.114135977711,2866.477169845718,2872.835299190643,2879.2016759896433,2885.5715459934663,2891.9296081119687,2898.284086208593,2904.65735094439,-3.117068876766945,0.0442867883952123,0.07558754472093691,0.38515139150448374,0.2999692603292399,-2.2220141244219094,0.10839057671573744,6.363399335386423,1765.6076437982063,0
6,5.712777713066305e-06,-6.546145758110284,1765.6092906091774,1771.982955852907,1778.334855160101,1784.6992235902528,2853.7480791444673,2860.1110607224846,2866.4757078477164,2872.8375038281474,2879.201846010403,2885.572346449518,2891.9294410653392,2898.2870963345604,2904.655064536794,-3.106028192012412,0.04477845403297122,0.021430299935327423,0.3953682030767982,0.22996298010804428,-2.238798511579637,0.10658648991068427,6.363374143310883,1765.611534659797,0
7,7.189281329176925e-06,-6.547889159034475,1765.6093275411986,1771.983948624018,1778.334758548703,1784.6988931068745,2853.7476631234476,2860.11128220506,2866.475922954195,2872.837927370171,2879.2015323458327,2885.5723359278754,2891.9294134369047,2898.287523451287,2904.655517240157,-3.0973364650314608,0.04516935246035715,0.02607466039631995,0.3852820807458668,0.23834284966969999,-2.239047497414791,0.10655995468806209,6.363373922632992,1765.6116826302286,0
8,3.3584353850763966e-05,-6.545981156448494,1765.6064114373412,1771.9848496835712,1778.3319176393338,1784.7000448856356,2853.7486310768218,2860.114627844932,2866.478171689368,2872.8367764037766,2879.2005743017025,2885.5716201837345,2891.9268022363885,2898.2845382177866,2904.6570139739215,-3.0946599685758964,0.04529041000489422,0.03581414892438988,0.35414028617932325,0.2393857106530597,-2.2331196123957664,0.10719350580092246,6.363378761287235,1765.6107813830156,0
9,-1.1902832844453013e-05,-6.527540690491026,1765.60557570058,1771.978118678902,1778.33273403699,1784.7004579469235,2853.750318807859,2860.110122505308,2866.474259525685,2872.837688715662,2879.2023967236646,2885.5734902688782,2891.9305149762704,2898.289056274764,2904.652689017098,-3.1140716809321556,0.04441972368996734,0.11431253192103905,0.40826773768124003,0.26535067149291724,-2.238357134003717,0.1066335451810335,6.363389323471006,1765.6091463669927,0
