,15th,50th,85th
MEAN,-2.597171370956707e-06,-1.7906117780559252e-07,2.1444929184978317e-06
LN_SIGLC,-8.485261673187802,-8.477815231348622,-8.470194222026928
T0,1438.4707902692337,1438.4733260579133,1438.4753158059502
LN_PER,1.1131863547935443,1.1131889420521817,1.113191826628524
LN_ROR,-4.802456391602931,-4.731356248816911,-4.64137619527193
ROR,0.008209556375727045,0.008814508264552417,0.0096444159135402
IMPACT,0.2561950318875538,0.6893816410969276,0.9182745738405215
PERIOD,3.0440423569279487,3.044050232663017,3.0440590134709673
LD_U1,0.13838984557204648,0.24319050157381594,0.3430470618139476
LD_U2,0.17634385637257655,0.2776743646980463,0.3823364435897661
LN_DUR14,-2.9258179109385116,-2.8768760692606437,-2.8314891703185796
DUR14,0.053620816919567216,0.05631039813872666,0.05892503888116512
ECC,0.2931632813303557,0.686878481882951,0.8353723503363457
OMEGA,11.523126538977392,91.37808761662762,167.05963667238012
