,15th,50th,85th
MEAN,-3.901495467109491e-06,-1.3035003938756402e-06,1.1702287362447382e-06
LN_SIGLC,-8.489585240795337,-8.482005213703268,-8.474385204527614
TTS,1442.6183457901293,1442.6203472796358,1442.6227408339055
TTS_1,1449.6647678755298,1449.6666921541737,1449.6681936278053
TTS_2,1456.7099828561852,1456.713725490699,1456.717432481067
TTS_3,1463.7649205526532,1463.770018917804,1463.774678584572
TTS_4,2175.7263377547383,2175.727653750617,2175.7300660215483
TTS_5,2182.773033845952,2182.7745705173147,2182.7767969316787
TTS_6,2189.82225026496,2189.8310114136557,2189.8358111511684
TTS_7,2196.8690070115513,2196.87098909988,2196.873072719759
TTS_8,2478.842374950772,2478.8438012653664,2478.845614952048
TTS_9,2492.938748288063,2492.940814242045,2492.9426816318937
TTS_10,2507.04578123405,2507.048439414672,2507.0499068290596
TTS_11,2514.0921673009484,2514.0954124457794,2514.097376953019
TTS_12,2521.1352722878155,2521.1371511721236,2521.1397532054384
LN_ROR,-4.136065328224211,-4.107176132373317,-4.067507583252287
ROR,0.01598562611667612,0.016454173390896824,0.017120005565592955
IMPACT,0.17861364541278044,0.5324418527371638,0.7464025000321257
LD_U1,0.1746210073147152,0.2612457814691962,0.3466055892800665
LD_U2,0.1958608260535566,0.28992175662197783,0.3823101232816918
LN_DUR14,-1.9817881180832078,-1.9694795132189522,-1.9523824247890462
DUR14,0.13782257380837995,0.13952946055839874,0.14193551776117475
PERIOD,7.04914378381513,7.049157467939755,7.049170568596245
T0,1442.616263770843,1442.6179113214916,1442.6195390894725
ECC,0.12868640251485294,0.34323193506920907,0.6494292954650522
OMEGA,-11.596695955636232,87.52607413047514,190.65562279472095
