,value,err_upper,err_lower,units
PERIOD,8.88032283693734,4.540673428365949e-06,-4.476765811389782e-06,days
T0,1715.355722504631,0.0002734514703206514,-0.00026641295380613883,days
ROR,0.0329746476357328,0.0006890693224159972,-0.000509649643358763,
IMPACT,0.401744600577884,0.1609999534165622,-0.2493768641546794,
DUR14,0.1273819037197255,0.001035198077814603,-0.0007201983087266051,days
ECC,0.25423620760042764,0.2943536279258121,-0.1264794669920314,
OMEGA,91.7306236731033,92.13704904854443,-94.58941660989139,deg
R_PL,3.362704602928471,0.0864155194134062,-0.07649962321109083,R_earth
