,value,err_upper,err_lower,units
TTS_0_0,1688.9374552374068,0.009497390175283726,-0.005046896675594326,days
TTS_0_1,1707.5888565473824,0.0035585359457854793,-0.002845728540478376,days
TTS_0_2,1726.251777125068,0.008791692120666994,-0.008307829221166685,days
TTS_0_3,1744.9151379363832,0.005186296333022256,-0.0037506950889110158,days
TTS_0_4,1782.2388506403463,0.018667554596959235,-0.007686135381391068,days
TTS_0_5,1819.5523400807085,0.009745222245555851,-0.004582285110927842,days
TTS_0_6,1838.2027420657053,0.006711078307489515,-0.008091904498996882,days
TTS_0_7,1856.8737529770501,0.003876403055528499,-0.003433560054645568,days
TTS_0_8,1875.5375854181102,0.008477435947042977,-0.006125983461288342,days
TTS_0_9,1894.1901844293284,0.003747883059531887,-0.00471709612588711,days
TTS_0_10,1931.5172989157434,0.008273578454918606,-0.005459851386149239,days
TTS_0_11,1950.1800348795684,0.003643779155027005,-0.0034899118750217895,days
TTS_0_12,1987.480146730142,0.0074093287066716584,-0.006354480443860666,days
TTS_0_13,2006.160886105024,0.00490644489582337,-0.005391029829979743,days
TTS_0_14,2024.8105862780874,0.006291616773296482,-0.007196892925094289,days
TTS_0_15,2397.872762522747,0.0051448237827571575,-0.003809747458944912,days
TTS_0_16,2416.5240139837138,0.0043226326411058835,-0.004238312534198485,days
TTS_0_17,2435.1725955570496,0.004955119487021875,-0.005961111961823917,days
TTS_0_18,2584.3993082630745,0.007639890657173964,-0.006453531616443797,days
TTS_0_19,2603.052982914858,0.0032948365378615563,-0.004968092659055401,days
TTS_0_20,2659.0247141989535,0.004929773476760602,-0.004571770359234506,days
TTS_0_21,2677.6720991278366,0.005386082839322626,-0.0065846633160617785,days
TTS_0_22,2696.330341187856,0.005088675675324339,-0.003749484546005988,days
TTS_0_23,2714.96894201113,0.013093884295358293,-0.012628305177713628,days
TTS_0_24,2733.6412767493653,0.0044749176977347815,-0.0050598726406860806,days
TTS_0_25,2752.302897113443,0.005525759652755369,-0.0069598610689354246,days
TTS_0_26,2770.950806902335,0.005529445758838847,-0.007692963347835757,days
TTS_0_27,2789.616031760114,0.00783182935174409,-0.004157759285135398,days
TTS_0_28,2826.922742266643,0.004330511541866144,-0.004733056931854662,days
TTS_0_29,2845.582754484538,0.004408693866935209,-0.009453658899928996,days
TTS_0_30,2901.5553192776274,0.004147349983213644,-0.005155615629519161,days
PERIOD,18.65487445625077,5.262686016038742e-05,-5.627104545880002e-05,days
T0,1688.975998339202,0.0022353220099375903,-0.002027386145982746,days
ROR,0.03632765504221651,0.001094937580581462,-0.0008984679786069871,
IMPACT,0.4122076762358267,0.20033999494359428,-0.26936475848739005,
DUR14,0.16515252958235258,0.0034088138875601748,-0.003036685267400141,days
ECC,0.19748218218698677,0.3271573823460454,-0.12792688569093136,
OMEGA,86.00769849740387,124.58149782912628,-118.49562023363234,deg
R_PL,3.4287604724671263,0.13014429989077891,-0.10991717570170279,R_earth
