,15th,50th,85th
MEAN,-3.382356504563347e-06,-9.99366425381374e-07,1.3689255513898175e-06
LN_SIGLC,-8.324595021026896,-8.31834607958601,-8.31169471935438
T0,1845.3728515994574,1845.3734596468896,1845.3739762164826
LN_PER,1.9612116876204795,1.9612125731151315,1.9612135367639407
LN_ROR,-3.8505719482118703,-3.833513261014877,-3.8111448233321044
ROR,0.021267569011073,0.021633477907995056,0.022122837713394898
IMPACT,0.17110839148302479,0.4882429467395545,0.6851942087508194
PERIOD,7.1079344455502484,7.107940739590974,7.107947589152904
LD_U1,0.13243580485099285,0.20420611795124421,0.2734406416689368
LD_U2,0.11055788627594665,0.2009550415769118,0.2916962598556805
LN_DUR14,-2.0092566863853247,-2.0011937863857323,-1.990087419851759
DUR14,0.13408830729945662,0.1351738182147112,0.13668347607401035
ECC,0.054919129159303415,0.26948093091820025,0.5920739745944738
OMEGA,-52.66554807048558,102.35619174904161,232.39351852028068
